Journal Title,ISSN,h5-index,h5-median,G_100_rank,G_BEM_rank,G_CMS_rank,G_ECS_rank,G_HMS_rank,G_HLA_rank,G_LSES_rank,G_PM_rank,G_SS_rank,Reviewer1,Reviewer2
IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,118,210,92,,,,,,,,,Tony Ross-Hellauer,JP
IEEE Transactions on Power Electronics,0885-8993,127,168,73,,,17,,,,,,Tony Ross-Hellauer,NP
IEEE Transactions on Signal Processing,1053-587X,88,128,,,,,,,,19,,Tony Ross-Hellauer,NP
Immunity,1074-7613,141,218,48,,,,20,,,,,Tony Ross-Hellauer,NP
International Journal of Communication,1932-8036,38,62,,,,,,3,,,,Tony Ross-Hellauer,NP
International Journal of Production Economics,0925-5273,79,120,,14,,,,,,,,Tony Ross-Hellauer,JL
JAMA,1538-3598,209,309,13,,,,5,,,,,Stefan Reichmann,JL
Journal of Allergy and Clinical Immunology,0091-6749,118,158,93,,,,,,,,,Stefan Reichmann,JL
Journal of Banking & Finance,0378-4266,78,111,,15,,,,,,,,Stefan Reichmann,JL
Journal of Business Ethics,1573-0697,90,124,,7,,,,,,,2,Stefan Reichmann,SH
Journal of Business Research,0148-2963,94,129,,5,,,,,,,,Stefan Reichmann,SH
Journal of Cleaner Production,0959-6526,117,160,95,,,,,,,,,Stefan Reichmann,SH
Journal of Clinical Oncology,1527-7755,196,279,18,,,,6,,,,,Stefan Reichmann,SH
Journal of Communication,1460-2466,49,70,,,,,,1,,,,Stefan Reichmann,TRH
Journal of Cosmology and Astroparticle Physics,1475-7516,91,126,,,,,,,,16,,Samantha Hindle,TRH
Journal of Economic Perspectives,1944-7965,75,147,,19,,,,,,,,Samantha Hindle,TRH
Journal of Educational Psychology,1939-2176,61,101,,,,,,,,,11,Samantha Hindle,TRH
Journal of Financial Economics,0304-405X,115,192,,2,,,,,,,,Samantha Hindle,GSM
Journal of Geophysical Research,2156-2202,89,121,,,,,,,,18,,Samantha Hindle,GSM
Journal of Hepatology,0168-8278,116,155,100,,,,,,,,,Samantha Hindle,GSM
Journal of High Energy Physics,1029-8479,161,226,30,,,,,,,3,,Samantha Hindle,GSM
Journal of Management,1557-1211,88,154,,8,,,,,,,,Samantha Hindle,JL
Journal of Materials Chemistry. A,2050-7488,153,200,38,,12,10,,,,,,Samantha Hindle,JL
Journal of Pragmatics,0378-2166,35,51,,,,,,12,,,,Samantha Hindle,JL
Journal of the American Chemical Society,1520-5126,236,309,9,,3,,,,,,,Samantha Hindle,JL
Journal of the American College of Cardiology,0735-1097,180,268,22,,,,8,,,,,Samantha Hindle,JP
Journal of Youth and Adolescence,1573-6601,58,78,,,,,,,,,18,Samantha Hindle,JP
Journalism,1741-3001,37,65,,,,,,7,,,,Samantha Hindle,JP
Journalism Practice,1751-2786,34,55,,,,,,14,,,,Samantha Hindle,JP
Journalism Studies,1461-670X,35,54,,,,,,11,,,,Samantha Hindle,NP
Land Use Policy,0264-8377,59,77,,,,,,,,,16,Samantha Hindle,NP
Language Learning,1467-9922,38,61,,,,,,4,,,,Stefan Reichmann,NP
Lingua,0024-3841,31,40,,,,,,20,,,,Stefan Reichmann,NP
Management Information Systems Quarterly,2162-9730,79,148,,13,,,,,,,,Stefan Reichmann,SH
Management Science,1526-5501,83,129,,11,,,,,,,,Stefan Reichmann,SH
"Media, Culture & Society",1460-3675,32,44,,,,,,18,,,,Stefan Reichmann,SH
Molecular Cell,1097-2765,131,180,59,,,,,,15,,,Stefan Reichmann,SH
Monthly Notices of the Royal Astronomical Society,1365-2966,135,181,52,,,,,,,6,,Stefan Reichmann,GSM
Nano Letters,1530-6992,194,281,19,,8,4,,,,,,Stefan Reichmann,GSM
Nanoscale,2040-3372,139,181,50,,14,12,,,,,,Jennifer Lin,GSM
Nature,1476-4687,362,542,1,,,,,,1,,,Jennifer Lin,GSM
Nature Biotechnology,1546-1696,158,307,33,,,,,,9,,,Jennifer Lin,SR
Nature Cell Biology,1476-4679,115,164,,,,,,,20,,,Jennifer Lin,SR
Nature Chemistry,1755-4349,122,181,84,,20,,,,,,,Jennifer Lin,SR
Nature Climate Change,1758-6798,130,194,62,,,,,,16,,,Jennifer Lin,SR
Nature Communications,2041-1723,240,318,7,,,,,,4,,,Jennifer Lin,TRH
Nature Genetics,1546-1718,187,277,21,,,,7,,7,,,Jennifer Lin,TRH
Nature Immunology,1529-2916,127,181,69,,,,,,,,,Jennifer Lin,TRH
Nature Materials,1476-4660,178,314,25,,9,6,,,,,,Jennifer Lin,TRH
Nature Medicine,1546-170X,168,266,26,,,,11,,,,,Jennifer Lin,SH
Nature Methods,1548-7105,156,260,35,,,,,,10,,,Jennifer Lin,SH
Nature Nanotechnology,1748-3395,160,272,32,,11,8,,,,,,Jennifer Lin,SH
Nature Neuroscience,1546-1726,146,210,44,,,,19,,,,,Jennifer Lin,SH
Nature Photonics,1749-4893,157,264,34,,,9,,,,4,,Jennifer Lin,NP
Nature Physics,1745-2481,127,179,70,,,,,,,8,,Stefan Reichmann,NP
Nature Reviews Cancer,1474-1768,131,223,57,,,,,,,,,Stefan Reichmann,NP
Nature Reviews Genetics,1471-0064,132,256,56,,,,,,13,,,Stefan Reichmann,NP
Nature Reviews Immunology,1474-1733,134,251,53,,,,,,,,,Stefan Reichmann,JP
Nature Reviews Neuroscience,1471-0048,123,200,81,,,,,,,,,Stefan Reichmann,JP
Nature Reviews. Drug Discovery,1474-1784,116,228,97,,,,,,,,,Stefan Reichmann,JP
Nature Reviews. Molecular Cell Biology,1471-0080,127,227,67,,,,,,17,,,Stefan Reichmann,JP
Neural Information Processing Systems (NIPS),Unavailable (?),134,221,54,,,14,,,,,,Stefan Reichmann,JL
NeuroImage,1053-8119,120,164,87,,,,,,,,,Stefan Reichmann,JL
Neuron,1097-4199,149,211,41,,,,16,,12,,,Gary McDowell,JL
New Media & Society,1461-7315,63,104,,,,,,,,,10,Gary McDowell,JL
Noûs,1468-0068,32,55,,,,,,16,,,,Gary McDowell,SR
Nucleic Acids Research,1362-4962,208,392,14,,,,,,6,,,Gary McDowell,SR
Obstetrical & Gynecological Survey,1533-9866,116,224,98,,,,,,,,,Gary McDowell,SR
Optics Express,1094-4087,103,129,,,,,,,,13,,Gary McDowell,SR
Pediatrics,1098-4275,117,163,94,,,,,,,,,Gary McDowell,TRH
Philosophical Studies,1573-0883,38,47,,,,,,6,,,,Gary McDowell,TRH
Physical Review B,1550-235X,130,168,63,,,,,,,7,,Gary McDowell,TRH
Physical Review D,1550- 2368,145,202,46,,,,,,,5,,Gary McDowell,TRH
Physical Review Letters,1079-7114,197,286,16,,,,,,,1,,Gary McDowell,SH
Physical Review X,2160-3308,89,123,,,,,,,,17,,Gary McDowell,SH
Physics Letters B,0375-9601,116,149,,,,,,,,9,,Gary McDowell,SH
PLoS ONE,1932-6203,180,229,23,,,,9,,8,,,Gary McDowell,SH
Proceedings of the National Academy of Sciences,1091-6490,226,291,11,,,,4,,5,,,Gary McDowell,NP
Progress in Human Geography,1477-0288,60,84,,,,,,,,,12,Gary McDowell,NP
Public Opinion Quarterly,1537-5331,32,45,,,,,,17,,,,Gary McDowell,NP
Regional Studies,1360-0591,57,82,,,,,,,,,20,Stefan Reichmann,NP
Renewable and Sustainable Energy Reviews,1364-0321,161,216,31,,,7,,,,,,Stefan Reichmann,JP
Research Policy,0048-7333,84,128,,,,,,,,,5,Stefan Reichmann,JP
Review of Economics and Statistics,0034-6535,76,121,,17,,,,,,,,Stefan Reichmann,JP
Reviews of Modern Physics,1539-0756,97,213,,,,,,,,14,,Stefan Reichmann,JP
Science,1095-9203,345,497,3,,,,,,2,,,Stefan Reichmann,JL
Science Translational Medicine,1946-6234,133,178,55,,,,,,,,,Stefan Reichmann,JL
Scientific Reports,2045-2322,151,203,39,,,,,,11,,,Stefan Reichmann,JL
Social Science & Medicine,0277-9536,75,91,,,,,,,,,7,Jessica Polka,JL
Strategic Management Journal,1097-0266,83,122,,12,,,,,,,,Jessica Polka,GSM
Synthese,1573-0964,36,50,,,,,,9,,,,Jessica Polka,GSM
System,0346-251X,35,45,,,,,,13,,,,Jessica Polka,GSM
Teaching and Teacher Education,0742-051X,57,88,,,,,,,,,19,Jessica Polka,TRH
TESOL Quarterly,1545-7249,36,48,,,,,,10,,,,Jessica Polka,TRH
The Astrophysical Journal,1538-4357,163,222,29,,,,,,,2,,Jessica Polka,TRH
The China Quarterly,1468-2648,31,45,,,,,,19,,,,Jessica Polka,TRH
The Cochrane Database of Systematic Reviews,1469-493X,148,210,42,,,,17,,,,,Jessica Polka,SR
The European Physical Journal C,1434-6052,107,228,,,,,,,,11,,Jessica Polka,SR
The Journal of Clinical Investigation,1558-8238,139,185,49,,,,,,,,,Jessica Polka,SR
The Journal of Finance,1540-6261,109,189,,3,,,,,,,,Jessica Polka,SR
The Journal of Physical Chemistry Letters,1948-7185,126,185,75,,18,,,,,,,Jessica Polka,SR
The Lancet,1474-547X,278,417,4,,,,2,,,,,Jessica Polka,SR
The Lancet Neurology,1474-4422,125,192,76,,,,,,,,,Stefan Reichmann,TRH
The Lancet Oncology,1470-2045,179,283,24,,,,10,,,,,Stefan Reichmann,JL
The Modern Language Journal,1540-4781,36,54,,,,,,8,,,,Stefan Reichmann,NP
The New England Journal of Medicine,1533-4406,358,602,2,,,,1,,,,,Stefan Reichmann,NP
The Quarterly Journal of Economics,1531-4650,94,191,,4,,,,,,,,Stefan Reichmann,NP
The Review of Economic Studies,1467-937X,75,115,,20,,,,,,,,Stefan Reichmann,NP
The Review of Financial Studies,1465-7368,92,163,,6,,,,,,,,Stefan Reichmann,JP
Tourism Management,0261-5177,85,135,,9,,,,,,,,Stefan Reichmann,SH
World Development,1873-5991,76,104,,18,,,,,,,,Stefan Reichmann,GSM
